"week"	"observed"	"state"
1	1	0
2	0	0
3	15	0
4	0	0
5	0	0
6	2	0
7	1	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	6	0
42	25	0
43	0	0
44	0	0
45	0	0
46	3	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	1	0
57	1	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	4	0
66	84	0
67	0	0
68	0	0
69	0	0
70	4	0
71	1	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	15	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	12	0
98	32	0
99	89	0
100	1	0
101	7	0
102	160	0
103	4	0
104	0	0
105	2	0
106	0	0
107	15	0
108	17	0
109	43	0
110	2	0
111	0	0
112	1	0
113	1	0
114	45	0
115	1	0
116	0	0
117	2	0
118	1	0
119	0	0
120	0	0
121	2	0
122	0	0
123	1	0
124	1	0
125	19	0
126	0	0
127	2	0
128	1	0
129	0	0
130	0	0
131	3	0
132	2	0
133	1	0
134	4	0
135	0	0
136	2	0
137	1	0
138	5	0
139	2	0
140	1	0
141	1	0
142	1	0
143	0	0
144	4	0
145	19	0
146	0	1
147	2	1
148	7	0
149	5	0
150	0	0
151	85	0
152	6	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	3	0
162	40	0
163	2	0
164	12	0
165	0	0
166	0	0
167	6	0
168	1	0
169	3	0
170	6	0
171	4	0
172	11	0
173	0	0
174	1	0
175	18	0
176	40	0
177	2	0
178	2	0
179	12	0
180	3	0
181	5	0
182	1	0
183	4	0
184	1	0
185	0	0
186	1	0
187	0	0
188	1	0
189	3	0
190	3	0
191	0	0
192	4	0
193	11	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
