"week"	"observed"	"state"
1	0	1
2	0	1
3	0	1
4	5	1
5	52	1
6	0	1
7	4	1
8	1	1
9	5	0
10	2	0
11	0	0
12	1	0
13	20	0
14	5	0
15	18	0
16	52	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	2	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	1	0
35	0	0
36	0	0
37	1	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	2	0
55	94	0
56	34	0
57	3	0
58	0	0
59	1	0
60	32	0
61	0	0
62	39	0
63	15	0
64	25	0
65	1	0
66	0	0
67	0	0
68	5	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	5	0
93	3	0
94	1	0
95	1	0
96	39	0
97	34	0
98	52	0
99	36	0
100	11	0
101	2	0
102	50	0
103	2	0
104	2	0
105	0	0
106	0	0
107	9	0
108	7	0
109	7	0
110	13	0
111	31	0
112	3	0
113	2	0
114	7	0
115	25	0
116	27	0
117	1	0
118	5	0
119	13	0
120	2	0
121	0	0
122	0	0
123	1	0
124	1	0
125	0	0
126	2	0
127	8	0
128	2	0
129	2	0
130	0	0
131	1	0
132	2	0
133	1	0
134	0	0
135	0	0
136	2	0
137	1	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	1	0
147	4	0
148	14	0
149	0	0
150	0	0
151	0	0
152	1	0
153	0	0
154	0	0
155	0	0
156	3	0
157	1	0
158	0	0
159	0	0
160	0	0
161	0	0
162	1	0
163	1	0
164	3	0
165	0	0
166	0	0
167	0	0
168	2	0
169	1	0
170	2	0
171	0	0
172	1	0
173	4	0
174	4	0
175	1	0
176	3	0
177	1	0
178	0	0
179	1	0
180	0	0
181	1	0
182	0	0
183	1	0
184	0	0
185	4	0
186	2	0
187	1	0
188	2	0
189	1	0
190	1	0
191	1	0
192	1	0
193	3	0
194	1	0
195	2	0
196	1	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
