"week"	"observed"	"state"
1	0	0
2	0	0
3	1	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	1	0
10	1	0
11	1	0
12	0	0
13	1	0
14	1	0
15	1	0
16	0	0
17	0	0
18	1	0
19	0	0
20	0	0
21	0	0
22	3	0
23	0	0
24	0	0
25	3	0
26	5	0
27	0	0
28	1	0
29	1	0
30	0	0
31	1	0
32	1	0
33	0	0
34	0	0
35	1	0
36	0	0
37	5	0
38	2	0
39	4	0
40	2	0
41	0	0
42	5	0
43	2	0
44	0	0
45	1	0
46	0	0
47	1	0
48	1	0
49	0	0
50	5	0
51	5	0
52	0	0
53	0	0
54	1	0
55	4	0
56	1	0
57	0	0
58	1	0
59	0	0
60	0	0
61	1	0
62	0	0
63	0	0
64	1	0
65	2	0
66	0	0
67	0	0
68	2	0
69	0	0
70	0	0
71	1	0
72	0	0
73	0	0
74	0	0
75	0	0
76	1	0
77	0	0
78	0	0
79	0	0
80	0	0
81	1	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	1	0
90	0	0
91	0	0
92	1	0
93	0	0
94	0	0
95	0	0
96	2	0
97	2	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	1	0
124	0	0
125	0	0
126	0	0
127	1	0
128	1	0
129	1	0
130	0	0
131	0	0
132	0	0
133	1	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	2	0
146	0	0
147	1	0
148	0	0
149	0	0
150	1	0
151	0	0
152	0	0
153	1	0
154	0	0
155	0	0
156	0	0
157	1	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	1
163	0	1
164	0	1
165	1	1
166	1	1
167	0	1
168	1	1
169	3	1
170	1	1
171	0	1
172	0	1
173	29	1
174	17	1
175	11	1
176	2	1
177	5	1
178	5	1
179	6	1
180	3	1
181	6	0
182	2	0
183	0	0
184	2	0
185	0	0
186	1	0
187	0	0
188	0	0
189	1	0
190	0	0
191	0	0
192	0	0
193	2	0
194	2	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
