"week"	"observed"	"state"
1	0	0
2	0	0
3	1	0
4	1	0
5	2	0
6	1	0
7	0	0
8	2	0
9	4	0
10	1	0
11	6	0
12	1	0
13	2	0
14	1	0
15	0	0
16	1	0
17	2	0
18	0	0
19	2	0
20	3	0
21	1	0
22	1	0
23	0	0
24	1	0
25	1	0
26	1	0
27	4	0
28	2	0
29	2	0
30	1	0
31	7	0
32	1	0
33	3	0
34	10	1
35	200	1
36	10	0
37	16	0
38	22	0
39	9	0
40	8	0
41	12	0
42	7	0
43	12	0
44	11	0
45	5	0
46	5	0
47	1	0
48	1	0
49	1	0
50	2	0
51	3	0
52	0	0
53	0	0
54	1	0
55	2	0
56	1	0
57	0	0
58	1	0
59	1	0
60	0	0
61	0	0
62	2	0
63	3	0
64	1	0
65	0	0
66	1	0
67	1	0
68	4	0
69	1	0
70	0	0
71	2	0
72	1	0
73	2	0
74	0	0
75	2	0
76	0	0
77	1	0
78	0	0
79	1	0
80	1	0
81	3	0
82	3	0
83	2	0
84	1	0
85	3	0
86	1	0
87	2	0
88	1	0
89	6	0
90	3	0
91	4	0
92	1	0
93	2	0
94	2	0
95	1	0
96	3	0
97	2	0
98	1	0
99	5	0
100	4	0
101	4	0
102	0	0
103	2	0
104	1	0
105	1	0
106	0	0
107	0	0
108	1	0
109	0	0
110	0	0
111	1	0
112	1	0
113	0	0
114	0	0
115	2	0
116	0	0
117	0	0
118	0	0
119	2	0
120	0	0
121	1	0
122	0	0
123	0	0
124	0	0
125	0	0
126	2	0
127	0	0
128	0	0
129	3	0
130	2	0
131	1	0
132	2	0
133	3	0
134	6	0
135	1	0
136	4	0
137	4	0
138	3	0
139	0	0
140	2	0
141	12	0
142	12	0
143	17	0
144	11	0
145	6	0
146	5	0
147	4	0
148	5	0
149	5	0
150	1	0
151	1	0
152	0	0
153	1	0
154	1	0
155	1	0
156	0	0
157	1	0
158	0	0
159	0	0
160	0	0
161	1	0
162	0	0
163	0	0
164	0	0
165	1	0
166	0	0
167	0	0
168	0	0
169	2	0
170	2	0
171	0	0
172	0	0
173	1	0
174	0	0
175	0	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	0	0
183	0	0
184	1	0
185	1	0
186	3	0
187	0	0
188	3	0
189	2	0
190	1	0
191	0	0
192	2	0
193	1	0
194	5	0
195	2	0
196	3	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
