"week"	"observed"	"state"
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	3	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	1	0
20	1	0
21	1	0
22	0	0
23	1	0
24	0	0
25	1	0
26	0	0
27	1	0
28	2	0
29	1	0
30	0	0
31	2	0
32	3	0
33	0	0
34	3	0
35	2	0
36	1	0
37	3	0
38	2	0
39	1	0
40	1	0
41	3	0
42	2	0
43	3	0
44	0	0
45	2	0
46	4	0
47	1	0
48	1	0
49	2	0
50	1	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	1	0
57	1	0
58	0	0
59	0	0
60	1	0
61	0	0
62	0	0
63	1	0
64	0	0
65	0	0
66	0	0
67	1	0
68	2	0
69	0	0
70	0	0
71	1	0
72	0	0
73	1	0
74	1	0
75	0	0
76	3	0
77	1	0
78	1	0
79	1	0
80	2	0
81	3	0
82	3	0
83	1	0
84	3	0
85	4	0
86	1	0
87	2	0
88	6	0
89	1	0
90	1	0
91	3	0
92	2	0
93	2	0
94	3	0
95	4	0
96	1	0
97	0	0
98	2	0
99	1	0
100	2	0
101	2	0
102	1	0
103	0	0
104	1	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	1	0
114	1	0
115	0	0
116	2	0
117	2	0
118	0	0
119	1	0
120	0	0
121	3	0
122	1	0
123	0	0
124	0	0
125	2	0
126	0	0
127	3	1
128	0	1
129	4	1
130	2	1
131	2	1
132	9	1
133	7	1
134	3	1
135	2	1
136	12	1
137	5	1
138	3	1
139	7	1
140	9	1
141	6	1
142	10	1
143	6	1
144	5	1
145	3	1
146	3	1
147	8	1
148	4	1
149	3	1
150	2	1
151	3	1
152	2	1
153	1	1
154	2	1
155	5	1
156	2	1
157	2	0
158	1	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	1	0
165	1	0
166	1	0
167	0	0
168	0	0
169	0	0
170	0	0
171	1	0
172	1	0
173	3	0
174	0	0
175	0	0
176	0	0
177	1	0
178	1	0
179	0	0
180	1	0
181	1	0
182	3	0
183	2	0
184	1	0
185	3	0
186	1	0
187	1	0
188	1	0
189	1	0
190	3	0
191	6	0
192	7	0
193	4	0
194	4	0
195	2	0
196	3	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
